id,title,overview,genres,keywords,cast,producers,release_date,runtime,production_companies,production_countries,spoken_languages,vote_average,vote_count,popularity,tagline,homepage,budget,revenue
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Action|Adventure|Fantasy|Science Fiction,culture clash|future|space war|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|marine|soldier|battle|love affair|anti war|power relations|mind and soul|3d,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|Laz Alonso,James Cameron|Jon Landau|Laeta Kalogridis,2009/12/10,162,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,United States of America|United Kingdom,English|Español,7.2,11800,150.437577,Enter the World of Pandora.,http://www.avatarmovie.com/,237000000,2787965087
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",Adventure|Fantasy|Action,ocean|drug abuse|exotic island|east india trading company|love of one's life|traitor|shipwreck|strong woman|ship|alliance|calypso|afterlife|fighter|pirate|swashbuckler|aftercreditsstinger,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Chow Yun-fat|Bill Nighy|Geoffrey Rush|Jack Davenport|Kevin McNally|Tom Hollander,Jerry Bruckheimer|Mike Stenson|Eric McLeod|Chad Oman|Peter Kohn|Pat Sandston,2007/5/19,169,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,United States of America,English,6.9,4500,139.082615,"At the end of the world, the adventure begins.",http://disney.go.com/disneypictures/pirates/,300000000,961000000
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",Action|Adventure|Crime,spy|based on novel|secret agent|sequel|mi6|british secret service|united kingdom,Daniel Craig|Christoph Waltz|Léa Seydoux|Ralph Fiennes|Monica Bellucci|Ben Whishaw|Naomie Harris|Dave Bautista|Andrew Scott|Rory Kinnear,Daniel Craig|Barbara Broccoli|Callum McDougall|Gregg Wilson|Michael G. Wilson|Stacy Perskie|Jayne-Ann Tenggren|Luca Marco Paracels,2015/10/26,148,Columbia Pictures|Danjaq|B24,United Kingdom|United States of America,Français|English|Español|Italiano|Deutsch,6.3,4466,107.376788,A Plan No One Escapes,http://www.sonypictures.com/movies/spectre/,245000000,880674609
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",Action|Crime|Drama|Thriller,dc comics|crime fighter|terrorist|secret identity|burglar|hostage drama|time bomb|gotham city|vigilante|cover-up|superhero|villainess|tragic hero|terrorism|destruction|catwoman|cat burglar|imax|flood|criminal underworld|batman,Christian Bale|Michael Caine|Gary Oldman|Anne Hathaway|Tom Hardy|Marion Cotillard|Joseph Gordon-Levitt|Morgan Freeman|Cillian Murphy|Juno Temple,Charles Roven|Christopher Nolan|Emma Thomas|Michael Uslan|Benjamin Melniker|Thomas Tull|Kevin De La Noy|Jordan Goldberg,2012/7/16,165,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,United States of America,English,7.6,9106,112.31295,The Legend Ends,http://www.thedarkknightrises.com/,250000000,1084939099
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",Action|Adventure|Science Fiction,based on novel|mars|medallion|space travel|princess|alien|steampunk|martian|escape|edgar rice burroughs|alien race|superhuman strength|mars civilization|sword and planet|19th century|3d,Taylor Kitsch|Lynn Collins|Samantha Morton|Willem Dafoe|Thomas Haden Church|Mark Strong|Ciarán Hinds|Dominic West|James Purefoy|Bryan Cranston,Colin Wilson|Jim Morris|Lindsey Collins|Bob Roath,2012/3/7,132,Walt Disney Pictures,United States of America,English,6.1,2124,43.926995,"Lost in our world, found in another.",http://movies.disney.com/john-carter,260000000,284139100
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",Fantasy|Action|Adventure,dual identity|amnesia|sandstorm|love of one's life|forgiveness|spider|wretch|death of a friend|egomania|sand|narcism|hostility|marvel comic|sequel|superhero|revenge,Tobey Maguire|Kirsten Dunst|James Franco|Thomas Haden Church|Topher Grace|Bryce Dallas Howard|Rosemary Harris|James Cromwell|J.K. Simmons|Theresa Russell,Joseph M. Caracciolo Jr.|Stan Lee|Laura Ziskin|Avi Arad|Kevin Feige|Grant Curtis,2007/5/1,139,Columbia Pictures|Laura Ziskin Productions|Marvel Enterprises,United States of America,English|Français,5.9,3576,115.699814,The battle within.,http://www.sonypictures.com/movies/spider-man3/,258000000,890871626
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",Animation|Family,hostage|magic|horse|fairy tale|musical|princess|animation|tower|blonde woman|selfishness|healing power|based on fairy tale|duringcreditsstinger|healing gift|animal sidekick,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey|Jeffrey Tambor|Brad Garrett|Paul F. Tompkins|Richard Kiel|Delaney Rose Stein,John Lasseter|Roy Conli|Glen Keane|Aimee Scribner,2010/11/24,100,Walt Disney Pictures|Walt Disney Animation Studios,United States of America,English,7.4,3330,48.681969,They're taking adventure to new lengths.,http://disney.go.com/disneypictures/tangled/,260000000,591794936
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Action|Adventure|Science Fiction,marvel comic|sequel|superhero|based on comic book|vision|superhero team|duringcreditsstinger|marvel cinematic universe|3d,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Jeremy Renner|James Spader|Samuel L. Jackson|Don Cheadle|Aaron Taylor-Johnson,Stan Lee|Kevin Feige|Patricia Whitcher|Jon Favreau|Louis D'Esposito|Alan Fine|Victoria Alonso|Jeremy Latcham|Mitchell Bell|Daniel S. Kaminsky|Luca Marco Paracels|Jamie Christopher,2015/4/22,141,Marvel Studios|Prime Focus|Revolution Sun Studios,United States of America,English,7.3,6767,134.279229,A New Age Has Come.,http://marvel.com/movies/movie/193/avengers_age_of_ultron,280000000,1405403694
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Adventure|Fantasy|Family,witch|magic|broom|school of witchcraft|wizardry|apparition|teenage crush|werewolf,Daniel Radcliffe|Rupert Grint|Emma Watson|Tom Felton|Michael Gambon|Jim Broadbent|Helena Bonham Carter|Robbie Coltrane|Maggie Smith|Alan Rickman,David Heyman|David Barron|Tim Lewis|Lionel Wigram,2009/7/7,153,Warner Bros.|Heyday Films,United Kingdom|United States of America,English,7.4,5293,98.885637,Dark Secrets Revealed,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,250000000,933959197
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Action|Adventure|Fantasy,dc comics|vigilante|superhero|based on comic book|revenge|super powers|clark kent|bruce wayne|dc extended universe,Ben Affleck|Henry Cavill|Gal Gadot|Amy Adams|Jesse Eisenberg|Diane Lane|Jeremy Irons|Laurence Fishburne|Holly Hunter|Scoot McNairy,Charles Roven|Christopher Nolan|Emma Thomas|David S. Goyer|Michael Uslan|Benjamin Melniker|Bruce Moriarty|Wesley Coller|Deborah Snyder|Gregory Wilson|Geoff Johns|Curt Kanemoto,2016/3/23,151,DC Comics|Atlas Entertainment|Warner Bros.|DC Entertainment|Cruel & Unusual Films|RatPac-Dune Entertainment,United States of America,English,5.7,7004,155.790452,Justice or revenge,http://www.batmanvsupermandawnofjustice.com/,250000000,873260194
