id,title,overview,genres,keywords,cast,producers,release_date,runtime,production_companies,production_countries,spoken_languages,vote_average,vote_count,popularity,tagline,homepage,budget,revenue
19995,阿凡达,22世纪，一名瘫痪的海军陆战队员被派往潘多拉星球执行一项特殊任务，却在服从命令与保护外星文明之间陷入两难。,动作|冒险|奇幻|科幻,文化冲突|未来|太空战争|太空殖民地|社会|太空旅行|未来主义|爱情|太空|外星人|部落|外星行星|电脑生成图像|海军陆战队员|士兵|战斗|恋爱关系|反战|权力关系|心灵与灵魂|3D,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|Laz Alonso,James Cameron|Jon Landau|Laeta Kalogridis,2009/12/10,162.0,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,美国|英国,英语|西班牙语,7.2,11800,150.437577,进入潘多拉世界。,http://www.avatarmovie.com/,237000000,2787965087
285,加勒比海盗3：世界的尽头,被认为早已死去的巴博萨船长死而复生，正与威尔·特纳和伊丽莎白·斯旺一同驶向世界尽头。但一切并非表面看起来那么简单。,冒险|奇幻|动作,海洋|毒品滥用|异域岛屿|东印度贸易公司|挚爱|叛徒|海难|坚强女性|船只|联盟|卡莉普索|来世|战士|海盗|剑客|片尾彩蛋,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Chow Yun-fat|Bill Nighy|Geoffrey Rush|Jack Davenport|Kevin McNally|Tom Hollander,Jerry Bruckheimer|Mike Stenson|Eric McLeod|Chad Oman|Peter Kohn|Pat Sandston,2007/5/19,169.0,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,美国,英语,6.9,4500,139.082615,在世界尽头，冒险就此开始。,http://disney.go.com/disneypictures/pirates/,300000000,961000000
206647,幽灵党,邦德过去收到的一条隐秘信息，将他引向一个邪恶组织。与此同时，M女士正与政治势力周旋，以维持秘密情报局的存续；而邦德则层层揭开欺骗的面纱，最终揭示出“幽灵党”背后骇人听闻的真相。,动作|冒险|犯罪,间谍|改编自小说|特工|续集|军情六处|英国秘密情报局|英国,Daniel Craig|Christoph Waltz|Léa Seydoux|Ralph Fiennes|Monica Bellucci|Ben Whishaw|Naomie Harris|Dave Bautista|Andrew Scott|Rory Kinnear,Daniel Craig|Barbara Broccoli|Callum McDougall|Gregg Wilson|Michael G. Wilson|Stacy Perskie|Jayne-Ann Tenggren|Luca Marco Paracels,2015/10/26,148.0,Columbia Pictures|Danjaq|B24,英国|美国,法语|英语|西班牙语|意大利语|德语,6.3,4466,107.376788,无人能逃脱的计划,http://www.sonypictures.com/movies/spectre/,245000000,880674609
49026,蝙蝠侠：黑暗骑士崛起,在地区检察官哈维·丹特死后，蝙蝠侠主动承担起丹特所犯下的罪行，以维护这位已故检察官的声誉，随后遭到哥谭市警察局的追捕。八年后，蝙蝠侠邂逅神秘女子赛琳娜·凯尔以及反派头目贝恩——一位令哥谭最精锐力量都为之溃败的恐怖主义领袖。这位黑暗骑士再度现身，保护一座已将他视为敌人的城市。,动作|犯罪|剧情|惊悚,DC漫画|打击犯罪者|恐怖分子|秘密身份|窃贼|人质危机|定时炸弹|哥谭市|义警|掩盖真相|超级英雄|女性反派|悲剧英雄|恐怖主义|毁灭|猫女|飞贼|IMAX|洪水|犯罪世界|蝙蝠侠,Christian Bale|Michael Caine|Gary Oldman|Anne Hathaway|Tom Hardy|Marion Cotillard|Joseph Gordon-Levitt|Morgan Freeman|Cillian Murphy|Juno Temple,Charles Roven|Christopher Nolan|Emma Thomas|Michael Uslan|Benjamin Melniker|Thomas Tull|Kevin De La Noy|Jordan Goldberg,2012/7/16,165.0,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,美国,英语,7.6,9106,112.31295,传奇终结,http://www.thedarkknightrises.com/,250000000,1084939099
49529,约翰·卡特,约翰·卡特是一名厌倦战争的前军队上尉，却不可思议地被传送至神秘而奇异的星球巴索姆（火星），并被迫卷入一场史诗般的冲突。这是一个濒临崩溃的世界，而当卡特意识到巴索姆及其人民的存亡系于自己一身时，他重新找回了人性。,动作|冒险|科幻,改编自小说|火星|徽章|太空旅行|公主|外星人|蒸汽朋克|火星人|逃亡|埃德加·赖斯·伯勒斯|外星种族|超人力量|火星文明|剑与行星|19世纪|3D,Taylor Kitsch|Lynn Collins|Samantha Morton|Willem Dafoe|Thomas Haden Church|Mark Strong|Ciarán Hinds|Dominic West|James Purefoy|Bryan Cranston,Colin Wilson|Jim Morris|Lindsey Collins|Bob Roath,2012/3/7,132.0,Walt Disney Pictures,美国,英语,6.1,2124,43.926995,迷失于我们的世界，却在另一个世界找到自我。,http://movies.disney.com/john-carter,260000000,284139100
559,蜘蛛侠3,看似无敌的蜘蛛侠将面对一批全新的反派角色——其中包括能够随意变形的沙人。当蜘蛛侠的超能力被一种外星生物改变时，他的另一个身份彼得·帕克则要应对宿敌埃迪·布洛克，并陷入一场三角恋之中。,奇幻|动作|冒险,双重身份|失忆|沙尘暴|挚爱|宽恕|蜘蛛|可怜虫|朋友之死|自我中心主义|沙子|自恋|敌意|漫威漫画|续集|超级英雄|复仇,Tobey Maguire|Kirsten Dunst|James Franco|Thomas Haden Church|Topher Grace|Bryce Dallas Howard|Rosemary Harris|James Cromwell|J.K. Simmons|Theresa Russell,Joseph M. Caracciolo Jr.|Stan Lee|Laura Ziskin|Avi Arad|Kevin Feige|Grant Curtis,2007/5/1,139.0,Columbia Pictures|Laura Ziskin Productions|Marvel Enterprises,美国,英语|法语,5.9,3576,115.699814,内心的战斗。,http://www.sonypictures.com/movies/spider-man3/,258000000,890871626
38757,魔发奇缘,当王国最臭名昭著——同时也最具魅力的盗贼弗林·莱德躲进一座神秘高塔时，却被拥有70英尺长魔法金发的美丽而泼辣的塔中少女乐佩劫持为人质。这位对世界充满好奇的俘虏，渴望借机逃离自己被囚禁多年的高塔，于是与这位英俊小偷达成协议；这对意想不到的搭档随即踏上一段充满动作冒险的旅程，途中既有神气十足的警探坐骑骏马、过度保护主人的变色龙，还有一群粗犷豪放的酒馆恶棍。,动画|家庭,人质|魔法|马|童话|音乐剧|公主|动画|高塔|金发女子|自私|治愈能力|改编自童话|片尾彩蛋|治愈天赋|动物伙伴,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey|Jeffrey Tambor|Brad Garrett|Paul F. Tompkins|Richard Kiel|Delaney Rose Stein,John Lasseter|Roy Conli|Glen Keane|Aimee Scribner,2010/11/24,100.0,Walt Disney Pictures|Walt Disney Animation Studios,美国,英语,7.4,3330,48.681969,他们将把冒险推向全新高度。,http://disney.go.com/disneypictures/tangled/,260000000,591794936
99861,复仇者联盟2：奥创纪元,当托尼·斯塔克试图启动一个处于休眠状态的维和计划时，事情出了差错，地球最强英雄们面临终极考验，而整个星球的命运悬于一线。随着邪恶的奥创现身，复仇者联盟必须阻止他实施可怕的阴谋；很快，不稳定的联盟与意想不到的行动共同铺就了一场史诗级且独一无二的全球冒险之旅。,动作|冒险|科幻,漫威漫画|续集|超级英雄|改编自漫画书|幻视|超级英雄团队|片尾彩蛋|漫威电影宇宙|3D,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Jeremy Renner|James Spader|Samuel L. Jackson|Don Cheadle|Aaron Taylor-Johnson,Stan Lee|Kevin Feige|Patricia Whitcher|Jon Favreau|Louis D'Esposito|Alan Fine|Victoria Alonso|Jeremy Latcham|Mitchell Bell|Daniel S. Kaminsky|Luca Marco Paracels|Jamie Christopher,2015/4/22,141.0,Marvel Studios|Prime Focus|Revolution Sun Studios,美国,英语,7.3,6767,134.279229,一个新时代已经到来。,http://marvel.com/movies/movie/193/avengers_age_of_ultron,280000000,1405403694
767,哈利·波特与混血王子,当哈利开始在霍格沃茨的第六学年时，他发现了一本标有“混血王子所有”的旧书，并开始更多地了解伏地魔的黑暗过去。,冒险|奇幻|家庭,女巫|魔法|飞天扫帚|魔法学校|巫术|幻影移形|青春期爱慕|狼人,Daniel Radcliffe|Rupert Grint|Emma Watson|Tom Felton|Michael Gambon|Jim Broadbent|Helena Bonham Carter|Robbie Coltrane|Maggie Smith|Alan Rickman,David Heyman|David Barron|Tim Lewis|Lionel Wigram,2009/7/7,153.0,Warner Bros.|Heyday Films,英国|美国,英语,7.4,5293,98.885637,黑暗秘密揭晓,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,250000000,933959197
209112,蝙蝠侠大战超人：正义黎明,由于担忧一位类神级超级英雄的行动不受约束，哥谭市自身强大而强硬的义警挺身而出，挑战大都会最受尊崇的现代救世主；与此同时，人类社会也在思索自己真正需要的是何种英雄。当蝙蝠侠与超人彼此交战之际，一股全新威胁迅速浮现，将人类置于前所未有的巨大危险之中。,动作|冒险|奇幻,DC漫画|义警|超级英雄|改编自漫画|复仇|超能力|克拉克·肯特|布鲁斯·韦恩|DC扩展宇宙,Ben Affleck|Henry Cavill|Gal Gadot|Amy Adams|Jesse Eisenberg|Diane Lane|Jeremy Irons|Laurence Fishburne|Holly Hunter|Scoot McNairy,Charles Roven|Christopher Nolan|Emma Thomas|David S. Goyer|Michael Uslan|Benjamin Melniker|Bruce Moriarty|Wesley Coller|Deborah Snyder|Gregory Wilson|Geoff Johns|Curt Kanemoto,2016/3/23,151.0,DC Comics|Atlas Entertainment|Warner Bros.|DC Entertainment|Cruel & Unusual Films|RatPac-Dune Entertainment,美国,英语,5.7,7004,155.790452,正义还是复仇,http://www.batmanvsupermandawnofjustice.com/,250000000,873260194
